x y meta
0 0 0.00000000
1 0 0.00000000
2 0 0.41813104
3 0 0.00000000
4 0 0.00000000
5 0 0.00011637
6 0 0.00000000
7 0 0.58175259
8 0 0.00000000
9 0 0.00000000
0 1 0.00000000
1 1 0.00000000
2 1 0.03409312
3 1 0.00000000
4 1 0.96590688
5 1 0.00000000
6 1 0.00000000
7 1 0.00000000
8 1 0.00000000
9 1 0.00000000
0 2 0.00000000
1 2 0.08787879
2 2 0.02727273
3 2 0.00000000
4 2 0.12424242
5 2 0.00000000
6 2 0.02727273
7 2 0.00000000
8 2 0.00000000
9 2 0.73333333
0 3 0.42929549
1 3 0.00050684
2 3 0.55448555
3 3 0.00000000
4 3 0.00000000
5 3 0.00000000
6 3 0.00050684
7 3 0.00000000
8 3 0.00000000
9 3 0.01520527
0 4 0.93115048
1 4 0.00000000
2 4 0.00000000
3 4 0.00000000
4 4 0.00000000
5 4 0.06884952
6 4 0.00000000
7 4 0.00000000
8 4 0.00000000
9 4 0.00000000
0 5 0.00000000
1 5 0.00000000
2 5 0.00159776
3 5 0.00000000
4 5 0.00000000
5 5 0.00000000
6 5 0.00000000
7 5 0.00000000
8 5 0.99840224
9 5 0.00000000
0 6 0.00000000
1 6 0.00000000
2 6 0.00012077
3 6 0.00000000
4 6 0.00000000
5 6 0.52717391
6 6 0.47270531
7 6 0.00000000
8 6 0.00000000
9 6 0.00000000
0 7 0.00000000
1 7 0.47948771
2 7 0.00000000
3 7 0.52051229
4 7 0.00000000
5 7 0.00000000
6 7 0.00000000
7 7 0.00000000
8 7 0.00000000
9 7 0.00000000
0 8 0.00000000
1 8 0.06962510
2 8 0.00000000
3 8 0.00019128
4 8 0.00000000
5 8 0.02582249
6 8 0.00019128
7 8 0.00000000
8 8 0.00000000
9 8 0.90416985
0 9 0.00071788
1 9 0.00071788
2 9 0.08614501
3 9 0.00000000
4 9 0.00071788
5 9 0.13783202
6 9 0.77171572
7 9 0.00071788
8 9 0.00071788
9 9 0.00071788
