x y meta
0 0 0.00000000
1 0 0.13825022
2 0 0.00000000
3 0 0.00000000
4 0 0.00000000
5 0 0.00000000
6 0 0.86174978
7 0 0.00000000
8 0 0.00000000
9 0 0.00000000
10 0 0.00000000
0 1 0.52266289
1 1 0.07577904
2 1 0.00000000
3 1 0.00000000
4 1 0.00000000
5 1 0.00000000
6 1 0.40155807
7 1 0.00000000
8 1 0.00000000
9 1 0.00000000
10 1 0.00000000
0 2 0.00000000
1 2 0.00000000
2 2 0.00000000
3 2 0.00000000
4 2 0.00000000
5 2 0.84397163
6 2 0.00000000
7 2 0.00000000
8 2 0.15602837
9 2 0.00000000
10 2 0.00000000
0 3 0.00000000
1 3 0.00000000
2 3 0.01243339
3 3 0.00000000
4 3 0.09769094
5 3 0.00000000
6 3 0.00000000
7 3 0.00000000
8 3 0.00000000
9 3 0.00000000
10 3 0.88987567
0 4 0.00000000
1 4 0.00000000
2 4 0.00000000
3 4 0.00000000
4 4 0.06709957
5 4 0.00000000
6 4 0.00000000
7 4 0.01406926
8 4 0.26623377
9 4 0.59632035
10 4 0.05627706
0 5 0.04037062
1 5 0.00000000
2 5 0.00000000
3 5 0.00000000
4 5 0.00000000
5 5 0.00000000
6 5 0.00000000
7 5 0.00066181
8 5 0.00000000
9 5 0.95896757
10 5 0.00000000
0 6 0.00000000
1 6 0.03514377
2 6 0.00000000
3 6 0.24345048
4 6 0.00000000
5 6 0.00000000
6 6 0.00000000
7 6 0.45047923
8 6 0.27092652
9 6 0.00000000
10 6 0.00000000
0 7 0.05303030
1 7 0.00252525
2 7 0.00000000
3 7 0.85606061
4 7 0.00000000
5 7 0.00252525
6 7 0.02525253
7 7 0.05555556
8 7 0.00000000
9 7 0.00505051
10 7 0.00000000
0 8 0.18021978
1 8 0.00164835
2 8 0.32527473
3 8 0.00000000
4 8 0.49285714
5 8 0.00000000
6 8 0.00000000
7 8 0.00000000
8 8 0.00000000
9 8 0.00000000
10 8 0.00000000
0 9 0.00000000
1 9 0.00238095
2 9 0.00238095
3 9 0.00238095
4 9 0.01904762
5 9 0.96190476
6 9 0.00238095
7 9 0.00000000
8 9 0.00238095
9 9 0.00476190
10 9 0.00238095
