x y meta
0 0 0.00000000
1 0 0.00000000
2 0 0.00270663
3 0 0.00000000
4 0 0.38137048
5 0 0.00000000
6 0 0.00000000
7 0 0.61592289
8 0 0.00000000
0 1 1.00000000
1 1 0.00000000
2 1 0.00000000
3 1 0.00000000
4 1 0.00000000
5 1 0.00000000
6 1 0.00000000
7 1 0.00000000
8 1 0.00000000
0 2 0.02615372
1 2 0.00000000
2 2 0.00000000
3 2 0.00000000
4 2 0.00000000
5 2 0.97384628
6 2 0.00000000
7 2 0.00000000
8 2 0.00000000
0 3 0.00000000
1 3 0.01557632
2 3 0.00311526
3 3 0.00311526
4 3 0.00311526
5 3 0.00000000
6 3 0.97507788
7 3 0.00000000
8 3 0.00000000
0 4 0.00177798
1 4 0.04011557
2 4 0.00022225
3 4 0.00000000
4 4 0.11645738
5 4 0.00000000
6 4 0.84142683
7 4 0.00000000
8 4 0.00000000
0 5 0.00000000
1 5 0.00000000
2 5 0.00000000
3 5 0.00000000
4 5 0.00000000
5 5 0.00016457
6 5 0.00000000
7 5 0.00000000
8 5 0.99983543
0 6 0.00000000
1 6 0.00039223
2 6 0.00000000
3 6 0.99960777
4 6 0.00000000
5 6 0.00000000
6 6 0.00000000
7 6 0.00000000
8 6 0.00000000
0 7 0.00000000
1 7 1.00000000
2 7 0.00000000
3 7 0.00000000
4 7 0.00000000
5 7 0.00000000
6 7 0.00000000
7 7 0.00000000
8 7 0.00000000
0 8 0.00045025
1 8 0.01170644
2 8 0.00000000
3 8 0.09275101
4 8 0.53084196
5 8 0.00180099
6 8 0.00000000
7 8 0.03196758
8 8 0.33048176
0 9 0.00000000
1 9 0.00009691
2 9 0.99970927
3 9 0.00000000
4 9 0.00009691
5 9 0.00000000
6 9 0.00009691
7 9 0.00000000
8 9 0.00000000
